model,file,hotpixels,accuracy,precision,recall
models/model_1/weights_model_1.hdf5,patch_249_13_by_9_LC08_L1TP_002054_20160520_20170324_01_T1,1,0.9865993857383728,0.986829400062561,0.9996465444564819
models/model_1/weights_model_1.hdf5,patch_260_13_by_8_LC08_L1TP_032029_20160420_20170223_01_T1,1,0.9837375283241272,0.1085415855050087,0.9732441306114197
models/model_1/weights_model_1.hdf5,patch_260_13_by_8_LC08_L1TP_045019_20160720_20170221_01_T1,1,0.9473944902420044,0.964789628982544,0.8599434494972229
models/model_1/weights_model_1.hdf5,patch_266_13_by_14_LC08_L1TP_033036_20170804_20170812_01_T1,1,0.9105970859527588,0.8942943811416626,0.585476815700531
models/model_1/weights_model_1.hdf5,patch_277_14_by_4_LC08_L1TP_019033_20161221_20170218_01_T1,1,0.9795396327972412,0.9924686551094055,0.9866865873336792
models/model_1/weights_model_1.hdf5,patch_295_15_by_15_LC08_L1TP_032031_20160420_20170223_01_T1,1,0.9984062910079956,0.9997956156730652,0.9986048936843872
models/model_1/weights_model_1.hdf5,patch_302_16_by_2_LC08_L1TP_002054_20160520_20170324_01_T1,1,0.91546630859375,0.8827343583106995,0.9896706938743591
models/model_1/weights_model_1.hdf5,patch_310_15_by_16_LC08_L1TP_045026_20160720_20170221_01_T1,1,0.9587199091911316,0.9622979760169983,0.9111720323562622
models/model_1/weights_model_1.hdf5,patch_313_16_by_13_LC08_L1TP_032031_20160420_20170223_01_T1,1,0.90576171875,0.9075237512588501,0.9232953190803528
models/model_1/weights_model_1.hdf5,patch_318_16_by_3_LC08_L1TP_045026_20160720_20170221_01_T1,1,0.9427964687347412,0.9609377384185791,0.797335684299469
models/model_1/weights_model_1.hdf5,patch_324_16_by_9_LC08_L1TP_029040_20160720_20170222_01_T1,1,0.9349839687347412,0.8561729192733765,0.9664227962493896
models/model_1/weights_model_1.hdf5,patch_328_16_by_13_LC08_L1TP_045019_20160720_20170221_01_T1,1,0.9434543251991272,0.9722387194633484,0.9586475491523743
models/model_1/weights_model_1.hdf5,patch_335_17_by_15_LC08_L1TP_002053_20160520_20170324_01_T1,1,0.8816392421722412,0.8160390853881836,0.9664818048477173
models/model_1/weights_model_1.hdf5,patch_346_17_by_10_LC08_L1TP_029040_20160720_20170222_01_T1,1,0.9373779296875,0.8780357241630554,0.978251576423645
models/model_1/weights_model_1.hdf5,patch_346_17_by_10_LC08_L1TP_034034_20160520_20170223_01_T1,1,0.96185302734375,0.9801024794578552,0.9261875152587891
models/model_1/weights_model_1.hdf5,patch_356_18_by_16_LC08_L1TP_034047_20160520_20170324_01_T1,1,0.8823513388633728,0.9696138501167297,0.8904889822006226
models/model_1/weights_model_1.hdf5,patch_434_20_by_16_LC08_L1TP_066017_20160520_20170223_01_T1,1,0.8589003086090088,1.0,0.8588648438453674
models/model_1/weights_model_1.hdf5,patch_75_4_by_12_LC08_L1TP_048027_20160420_20170223_01_T1,1,0.9002211093902588,0.9979822635650635,0.8986089825630188
models/model_1/weights_model_1.hdf5,patch_76_4_by_13_LC08_L1TP_032029_20160420_20170223_01_T1,1,0.9672377109527588,0.967743456363678,0.999389111995697
models/model_1/weights_model_1.hdf5,patch_77_4_by_14_LC08_L1TP_033022_20161020_20170219_01_T1,1,0.9985690712928772,0.9999592304229736,0.998609721660614
